Min Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  , 
Variant      , Base_Seq , Base_CUDA , RAJA_CUDA
Tuning       , default  , block_256 , block_256
Apps_ENERGY  ,    1.000 ,     0.133 ,     0.133
